Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.

Loading weights:   0%|          | 0/190 [00:00<?, ?it/s]
Loading weights:  27%|██▋       | 52/190 [00:00<00:00, 518.34it/s]
Loading weights: 100%|██████████| 190/190 [00:00<00:00, 1833.79it/s]
[transformers] The tied weights mapping and config for this model specifies to tie shared.weight to lm_head.weight, but both are present in the checkpoints with different values, so we will NOT tie them. You should update the config with `tie_word_embeddings=False` to silence this warning.
[transformers] `torch_dtype` is deprecated! Use `dtype` instead!

Loading weights:   0%|          | 0/559 [00:00<?, ?it/s]
Loading weights:   7%|▋         | 41/559 [00:00<00:01, 394.11it/s]
Loading weights:  15%|█▍        | 82/559 [00:00<00:01, 391.21it/s]
Loading weights:  22%|██▏       | 124/559 [00:00<00:01, 399.89it/s]
Loading weights:  30%|██▉       | 166/559 [00:00<00:00, 396.49it/s]
Loading weights:  37%|███▋      | 206/559 [00:00<00:00, 396.66it/s]
Loading weights:  44%|████▍     | 247/559 [00:00<00:00, 389.57it/s]
Loading weights:  52%|█████▏    | 288/559 [00:00<00:00, 392.22it/s]
Loading weights:  59%|█████▊    | 328/559 [00:00<00:00, 386.87it/s]
Loading weights:  66%|██████▌   | 367/559 [00:00<00:00, 355.88it/s]
Loading weights:  72%|███████▏  | 404/559 [00:01<00:00, 343.15it/s]
Loading weights:  79%|███████▊  | 439/559 [00:01<00:00, 333.37it/s]
Loading weights:  85%|████████▍ | 473/559 [00:01<00:00, 328.61it/s]
Loading weights:  91%|█████████ | 508/559 [00:01<00:00, 324.17it/s]
Loading weights:  97%|█████████▋| 541/559 [00:01<00:00, 323.57it/s]
Loading weights: 100%|██████████| 559/559 [00:01<00:00, 349.53it/s]
[transformers] The tied weights mapping and config for this model specifies to tie shared.weight to lm_head.weight, but both are present in the checkpoints with different values, so we will NOT tie them. You should update the config with `tie_word_embeddings=False` to silence this warning.

[GKD setup]
student         : google/flan-t5-small
teacher         : google/flan-t5-xxl
device          : cuda
divergence      : jsd
beta            : 0.50
lambda          : 0.50
updates         : 1000
micro batch     : 1
grad accum      : 16
effective batch : 16
save dir        : /home/ubuntu/t5_gsm8k/t5_small_gsm8k_gkd_true_laptop


train:   0%|          | 0/1000 [00:00<?, ?it/s]
train:   0%|          | 0/1000 [00:05<?, ?it/s, loss=0.2566, lr=3.75e-06, sup=6, onp=10, gpu=22.24G]
train:   0%|          | 1/1000 [00:05<1:36:07,  5.77s/it, loss=0.2566, lr=3.75e-06, sup=6, onp=10, gpu=22.24G]
                                                                                                              
train:   0%|          | 1/1000 [00:05<1:36:07,  5.77s/it, loss=0.2566, lr=3.75e-06, sup=6, onp=10, gpu=22.24G]
train:   0%|          | 1/1000 [00:07<1:36:07,  5.77s/it, loss=0.2558, lr=7.50e-06, sup=14, onp=2, gpu=22.24G]
train:   0%|          | 2/1000 [00:07<1:05:45,  3.95s/it, loss=0.2558, lr=7.50e-06, sup=14, onp=2, gpu=22.24G]
train:   0%|          | 2/1000 [00:11<1:05:45,  3.95s/it, loss=0.2628, lr=1.12e-05, sup=8, onp=8, gpu=22.29G] 
train:   0%|          | 3/1000 [00:11<1:04:53,  3.91s/it, loss=0.2628, lr=1.12e-05, sup=8, onp=8, gpu=22.29G]
train:   0%|          | 3/1000 [00:16<1:04:53,  3.91s/it, loss=0.2478, lr=1.50e-05, sup=8, onp=8, gpu=22.29G]
train:   0%|          | 4/1000 [00:16<1:09:49,  4.21s/it, loss=0.2478, lr=1.50e-05, sup=8, onp=8, gpu=22.29G]
train:   0%|          | 4/1000 [00:20<1:09:49,  4.21s/it, loss=0.2412, lr=1.87e-05, sup=11, onp=5, gpu=22.29G]
train:   0%|          | 5/1000 [00:20<1:09:02,  4.16s/it, loss=0.2412, lr=1.87e-05, sup=11, onp=5, gpu=22.29G]
train:   0%|          | 5/1000 [00:26<1:09:02,  4.16s/it, loss=0.2311, lr=2.25e-05, sup=7, onp=9, gpu=22.29G] 
train:   1%|          | 6/1000 [00:26<1:13:35,  4.44s/it, loss=0.2311, lr=2.25e-05, sup=7, onp=9, gpu=22.29G]
train:   1%|          | 6/1000 [00:31<1:13:35,  4.44s/it, loss=0.2210, lr=2.62e-05, sup=7, onp=9, gpu=22.29G]
train:   1%|          | 7/1000 [00:31<1:15:28,  4.56s/it, loss=0.2210, lr=2.62e-05, sup=7, onp=9, gpu=22.29G]
train:   1%|          | 7/1000 [00:35<1:15:28,  4.56s/it, loss=0.2489, lr=3.00e-05, sup=11, onp=5, gpu=22.29G]
train:   1%|          | 8/1000 [00:35<1:12:39,  4.40s/it, loss=0.2489, lr=3.00e-05, sup=11, onp=5, gpu=22.29G]
train:   1%|          | 8/1000 [00:40<1:12:39,  4.40s/it, loss=0.2017, lr=3.38e-05, sup=6, onp=10, gpu=22.29G]
train:   1%|          | 9/1000 [00:40<1:14:29,  4.51s/it, loss=0.2017, lr=3.38e-05, sup=6, onp=10, gpu=22.29G]
train:   7%|▋         | 70/1000 [06:46<1:25:18,  5.50s/it, loss=0.1799, lr=2.62e-04, sup=7, onp=9, gpu=22.48G]
train:   7%|▋         | 70/1000 [06:51<1:25:18,  5.50s/it, loss=0.1835, lr=2.66e-04, sup=10, onp=6, gpu=22.48G]
train:   7%|▋         | 71/1000 [06:51<1:25:03,  5.49s/it, loss=0.1835, lr=2.66e-04, sup=10, onp=6, gpu=22.48G]
train:   7%|▋         | 71/1000 [06:56<1:25:03,  5.49s/it, loss=0.2413, lr=2.70e-04, sup=8, onp=8, gpu=22.48G] 
train:   7%|▋         | 72/1000 [06:56<1:24:18,  5.45s/it, loss=0.2413, lr=2.70e-04, sup=8, onp=8, gpu=22.48G]
train:   7%|▋         | 72/1000 [07:01<1:24:18,  5.45s/it, loss=0.1836, lr=2.74e-04, sup=6, onp=10, gpu=22.48G]
train:   7%|▋         | 73/1000 [07:01<1:23:35,  5.41s/it, loss=0.1836, lr=2.74e-04, sup=6, onp=10, gpu=22.48G]
train:   7%|▋         | 73/1000 [07:06<1:23:35,  5.41s/it, loss=0.1989, lr=2.77e-04, sup=8, onp=8, gpu=22.48G] 
train:   7%|▋         | 74/1000 [07:06<1:23:38,  5.42s/it, loss=0.1989, lr=2.77e-04, sup=8, onp=8, gpu=22.48G]
train:   7%|▋         | 74/1000 [07:16<1:23:38,  5.42s/it, loss=0.1866, lr=2.81e-04, sup=4, onp=12, gpu=22.48G]
train:   8%|▊         | 75/1000 [07:16<1:27:20,  5.67s/it, loss=0.1866, lr=2.81e-04, sup=4, onp=12, gpu=22.48G]
                                                                                                               

train:   8%|▊         | 75/1000 [07:16<1:27:20,  5.67s/it, loss=0.1866, lr=2.81e-04, sup=4, onp=12, gpu=22.48G]
train:   8%|▊         | 75/1000 [07:23<1:27:20,  5.67s/it, loss=0.1736, lr=2.85e-04, sup=9, onp=7, gpu=22.48G] 
train:   8%|▊         | 76/1000 [07:23<1:28:08,  5.72s/it, loss=0.1736, lr=2.85e-04, sup=9, onp=7, gpu=22.48G]
train:   8%|▊         | 76/1000 [07:33<1:28:08,  5.72s/it, loss=0.1658, lr=2.89e-04, sup=7, onp=9, gpu=22.48G]
train:   8%|▊         | 77/1000 [07:33<1:31:23,  5.94s/it, loss=0.1658, lr=2.89e-04, sup=7, onp=9, gpu=22.48G]
train:   8%|▊         | 77/1000 [07:41<1:31:23,  5.94s/it, loss=0.1834, lr=2.92e-04, sup=6, onp=10, gpu=22.48G]
train:   8%|▊         | 78/1000 [07:41<1:32:32,  6.02s/it, loss=0.1834, lr=2.92e-04, sup=6, onp=10, gpu=22.48G]
train:   8%|▊         | 78/1000 [07:46<1:32:32,  6.02s/it, loss=0.1741, lr=2.96e-04, sup=10, onp=6, gpu=22.48G]
train:   8%|▊         | 79/1000 [07:46<1:32:12,  6.01s/it, loss=0.1741, lr=2.96e-04, sup=10, onp=6, gpu=22.48G]
train:   8%|▊         | 79/1000 [07:57<1:32:12,  6.01s/it, loss=0.1706, lr=3.00e-04, sup=3, onp=13, gpu=22.48G]
train:   8%|▊         | 80/1000 [07:57<1:36:04,  6.27s/it, loss=0.1706, lr=3.00e-04, sup=3, onp=13, gpu=22.48G]
train:   8%|▊         | 80/1000 [08:03<1:36:04,  6.27s/it, loss=0.1835, lr=3.00e-04, sup=9, onp=7, gpu=22.48G] 
train:   8%|▊         | 81/1000 [08:03<1:35:22,  6.23s/it, loss=0.1835, lr=3.00e-04, sup=9, onp=7, gpu=22.48G]
train:   8%|▊         | 81/1000 [08:11<1:35:22,  6.23s/it, loss=0.1694, lr=3.00e-04, sup=4, onp=12, gpu=22.48G]
train:   8%|▊         | 82/1000 [08:11<1:36:26,  6.30s/it, loss=0.1694, lr=3.00e-04, sup=4, onp=12, gpu=22.48G]
train:   8%|▊         | 82/1000 [08:16<1:36:26,  6.30s/it, loss=0.1822, lr=3.00e-04, sup=8, onp=8, gpu=22.48G] 
train:   8%|▊         | 83/1000 [08:16<1:35:10,  6.23s/it, loss=0.1822, lr=3.00e-04, sup=8, onp=8, gpu=22.48G]
train:   8%|▊         | 83/1000 [08:22<1:35:10,  6.23s/it, loss=0.1757, lr=3.00e-04, sup=5, onp=11, gpu=22.48G]
train:   8%|▊         | 84/1000 [08:22<1:35:19,  6.24s/it, loss=0.1757, lr=3.00e-04, sup=5, onp=11, gpu=22.48G]
train:   8%|▊         | 84/1000 [08:26<1:35:19,  6.24s/it, loss=0.1773, lr=3.00e-04, sup=11, onp=5, gpu=22.48G]
train:   8%|▊         | 85/1000 [08:26<1:33:25,  6.13s/it, loss=0.1773, lr=3.00e-04, sup=11, onp=5, gpu=22.48G]
train:   8%|▊         | 85/1000 [08:31<1:33:25,  6.13s/it, loss=0.1826, lr=3.00e-04, sup=8, onp=8, gpu=22.48G] 
train:   9%|▊         | 86/1000 [08:31<1:32:42,  6.09s/it, loss=0.1826, lr=3.00e-04, sup=8, onp=8, gpu=22.48G]
train:   9%|▊         | 86/1000 [08:38<1:32:42,  6.09s/it, loss=0.1690, lr=3.00e-04, sup=4, onp=12, gpu=22.48G]
train:   9%|▊         | 87/1000 [08:38<1:32:58,  6.11s/it, loss=0.1690, lr=3.00e-04, sup=4, onp=12, gpu=22.48G]
train:   9%|▊         | 87/1000 [08:44<1:32:58,  6.11s/it, loss=0.1770, lr=3.00e-04, sup=9, onp=7, gpu=22.48G] 
train:   9%|▉         | 88/1000 [08:44<1:32:33,  6.09s/it, loss=0.1770, lr=3.00e-04, sup=9, onp=7, gpu=22.48G]
train:   9%|▉         | 88/1000 [08:48<1:32:33,  6.09s/it, loss=0.1815, lr=3.00e-04, sup=11, onp=5, gpu=22.48G]
train:   9%|▉         | 89/1000 [08:48<1:31:09,  6.00s/it, loss=0.1815, lr=3.00e-04, sup=11, onp=5, gpu=22.48G]
train:   9%|▉         | 89/1000 [08:52<1:31:09,  6.00s/it, loss=0.1870, lr=3.00e-04, sup=8, onp=8, gpu=22.48G] 
train:   9%|▉         | 90/1000 [08:52<1:29:31,  5.90s/it, loss=0.1870, lr=3.00e-04, sup=8, onp=8, gpu=22.48G]
train:   9%|▉         | 90/1000 [08:58<1:29:31,  5.90s/it, loss=0.1808, lr=3.00e-04, sup=9, onp=7, gpu=22.48G]
train:   9%|▉         | 91/1000 [08:58<1:29:16,  5.89s/it, loss=0.1808, lr=3.00e-04, sup=9, onp=7, gpu=22.48G]
train:   9%|▉         | 91/1000 [09:04<1:29:16,  5.89s/it, loss=0.1614, lr=3.00e-04, sup=7, onp=9, gpu=22.48G]
train:   9%|▉         | 92/1000 [09:04<1:29:35,  5.92s/it, loss=0.1614, lr=3.00e-04, sup=7, onp=9, gpu=22.48G]
train:   9%|▉         | 92/1000 [09:13<1:29:35,  5.92s/it, loss=0.1635, lr=3.00e-04, sup=4, onp=12, gpu=22.48G]
train:   9%|▉         | 93/1000 [09:13<1:31:57,  6.08s/it, loss=0.1635, lr=3.00e-04, sup=4, onp=12, gpu=22.48G]
train:   9%|▉         | 93/1000 [09:18<1:31:57,  6.08s/it, loss=0.1720, lr=3.00e-04, sup=9, onp=7, gpu=22.48G] 
train:   9%|▉         | 94/1000 [09:18<1:31:04,  6.03s/it, loss=0.1720, lr=3.00e-04, sup=9, onp=7, gpu=22.48G]
train:   9%|▉         | 94/1000 [09:25<1:31:04,  6.03s/it, loss=0.1716, lr=3.00e-04, sup=8, onp=8, gpu=22.48G]
train:  10%|▉         | 95/1000 [09:25<1:31:35,  6.07s/it, loss=0.1716, lr=3.00e-04, sup=8, onp=8, gpu=22.48G]
train:  10%|▉         | 95/1000 [09:31<1:31:35,  6.07s/it, loss=0.1918, lr=3.00e-04, sup=10, onp=6, gpu=22.48G]
train:  10%|▉         | 96/1000 [09:31<1:31:36,  6.08s/it, loss=0.1918, lr=3.00e-04, sup=10, onp=6, gpu=22.48G]
train:  10%|▉         | 96/1000 [09:38<1:31:36,  6.08s/it, loss=0.1701, lr=3.00e-04, sup=6, onp=10, gpu=22.48G]
train:  10%|▉         | 97/1000 [09:38<1:31:42,  6.09s/it, loss=0.1701, lr=3.00e-04, sup=6, onp=10, gpu=22.48G]
train:  10%|▉         | 97/1000 [09:41<1:31:42,  6.09s/it, loss=0.1840, lr=3.00e-04, sup=11, onp=5, gpu=22.48G]
train:  10%|▉         | 98/1000 [09:41<1:29:35,  5.96s/it, loss=0.1840, lr=3.00e-04, sup=11, onp=5, gpu=22.48G]
train:  10%|▉         | 98/1000 [09:45<1:29:35,  5.96s/it, loss=0.1817, lr=3.00e-04, sup=12, onp=4, gpu=22.48G]
train:  10%|▉         | 99/1000 [09:45<1:27:33,  5.83s/it, loss=0.1817, lr=3.00e-04, sup=12, onp=4, gpu=22.48G]
train:  10%|▉         | 99/1000 [09:51<1:27:33,  5.83s/it, loss=0.1751, lr=3.00e-04, sup=7, onp=9, gpu=22.48G] 
train:  10%|█         | 100/1000 [09:51<1:28:02,  5.87s/it, loss=0.1751, lr=3.00e-04, sup=7, onp=9, gpu=22.48G]
                                                                                                               

train:  10%|█         | 100/1000 [09:51<1:28:02,  5.87s/it, loss=0.1751, lr=3.00e-04, sup=7, onp=9, gpu=22.48G]
train:  10%|█         | 100/1000 [09:56<1:28:02,  5.87s/it, loss=0.1701, lr=3.00e-04, sup=8, onp=8, gpu=22.48G]
train:  10%|█         | 101/1000 [09:56<1:27:07,  5.82s/it, loss=0.1701, lr=3.00e-04, sup=8, onp=8, gpu=22.48G]
train:  10%|█         | 101/1000 [10:02<1:27:07,  5.82s/it, loss=0.1756, lr=3.00e-04, sup=9, onp=7, gpu=22.48G]
train:  10%|█         | 102/1000 [10:02<1:27:06,  5.82s/it, loss=0.1756, lr=3.00e-04, sup=9, onp=7, gpu=22.48G]
train:  10%|█         | 102/1000 [10:05<1:27:06,  5.82s/it, loss=0.1804, lr=3.00e-04, sup=12, onp=4, gpu=22.48G]
train:  10%|█         | 103/1000 [10:05<1:25:10,  5.70s/it, loss=0.1804, lr=3.00e-04, sup=12, onp=4, gpu=22.48G]
train:  10%|█         | 103/1000 [10:10<1:25:10,  5.70s/it, loss=0.1829, lr=3.00e-04, sup=10, onp=6, gpu=22.48G]
train:  10%|█         | 104/1000 [10:10<1:24:02,  5.63s/it, loss=0.1829, lr=3.00e-04, sup=10, onp=6, gpu=22.48G]
train:  10%|█         | 104/1000 [10:15<1:24:02,  5.63s/it, loss=0.1816, lr=3.00e-04, sup=9, onp=7, gpu=22.48G] 
train:  10%|█         | 105/1000 [10:15<1:23:49,  5.62s/it, loss=0.1816, lr=3.00e-04, sup=9, onp=7, gpu=22.48G]
train:  10%|█         | 105/1000 [10:19<1:23:49,  5.62s/it, loss=0.1820, lr=3.00e-04, sup=10, onp=6, gpu=22.48G]
train:  11%|█         | 106/1000 [10:19<1:22:17,  5.52s/it, loss=0.1820, lr=3.00e-04, sup=10, onp=6, gpu=22.48G]
train:  11%|█         | 106/1000 [10:24<1:22:17,  5.52s/it, loss=0.1756, lr=3.00e-04, sup=9, onp=7, gpu=22.48G] 
train:  11%|█         | 107/1000 [10:24<1:22:01,  5.51s/it, loss=0.1756, lr=3.00e-04, sup=9, onp=7, gpu=22.48G]
train:  11%|█         | 107/1000 [10:31<1:22:01,  5.51s/it, loss=0.1625, lr=3.00e-04, sup=7, onp=9, gpu=22.48G]
train:  11%|█         | 108/1000 [10:31<1:23:20,  5.61s/it, loss=0.1625, lr=3.00e-04, sup=7, onp=9, gpu=22.48G]
train:  11%|█         | 108/1000 [10:37<1:23:20,  5.61s/it, loss=0.1755, lr=3.00e-04, sup=9, onp=7, gpu=22.48G]
train:  11%|█         | 109/1000 [10:37<1:22:57,  5.59s/it, loss=0.1755, lr=3.00e-04, sup=9, onp=7, gpu=22.48G]
train:  11%|█         | 109/1000 [10:43<1:22:57,  5.59s/it, loss=0.1851, lr=3.00e-04, sup=5, onp=11, gpu=22.48G]
train:  11%|█         | 110/1000 [10:43<1:23:10,  5.61s/it, loss=0.1851, lr=3.00e-04, sup=5, onp=11, gpu=22.48G]
train:  11%|█         | 110/1000 [10:51<1:23:10,  5.61s/it, loss=0.1798, lr=3.00e-04, sup=4, onp=12, gpu=22.48G]
train:  11%|█         | 111/1000 [10:51<1:25:00,  5.74s/it, loss=0.1798, lr=3.00e-04, sup=4, onp=12, gpu=22.48G]
train:  11%|█         | 111/1000 [10:56<1:25:00,  5.74s/it, loss=0.1741, lr=3.00e-04, sup=8, onp=8, gpu=22.48G] 
train:  11%|█         | 112/1000 [10:56<1:24:06,  5.68s/it, loss=0.1741, lr=3.00e-04, sup=8, onp=8, gpu=22.48G]
train:  11%|█         | 112/1000 [10:59<1:24:06,  5.68s/it, loss=0.1990, lr=3.00e-04, sup=11, onp=5, gpu=22.48G]
train:  11%|█▏        | 113/1000 [10:59<1:22:01,  5.55s/it, loss=0.1990, lr=3.00e-04, sup=11, onp=5, gpu=22.48G]
train:  11%|█▏        | 113/1000 [11:02<1:22:01,  5.55s/it, loss=0.1950, lr=3.00e-04, sup=9, onp=7, gpu=22.48G] 
train:  11%|█▏        | 114/1000 [11:02<1:20:32,  5.45s/it, loss=0.1950, lr=3.00e-04, sup=9, onp=7, gpu=22.48G]
train:  11%|█▏        | 114/1000 [11:06<1:20:32,  5.45s/it, loss=0.1830, lr=3.00e-04, sup=7, onp=9, gpu=22.48G]
train:  12%|█▏        | 115/1000 [11:06<1:19:28,  5.39s/it, loss=0.1830, lr=3.00e-04, sup=7, onp=9, gpu=22.48G]
train:  12%|█▏        | 115/1000 [11:11<1:19:28,  5.39s/it, loss=0.1897, lr=3.00e-04, sup=8, onp=8, gpu=22.48G]
train:  12%|█▏        | 116/1000 [11:11<1:19:02,  5.36s/it, loss=0.1897, lr=3.00e-04, sup=8, onp=8, gpu=22.48G]
train:  12%|█▏        | 116/1000 [11:14<1:19:02,  5.36s/it, loss=0.1985, lr=3.00e-04, sup=9, onp=7, gpu=22.48G]
train:  12%|█▏        | 117/1000 [11:14<1:16:54,  5.23s/it, loss=0.1985, lr=3.00e-04, sup=9, onp=7, gpu=22.48G]
train:  12%|█▏        | 117/1000 [11:17<1:16:54,  5.23s/it, loss=0.2072, lr=3.00e-04, sup=10, onp=6, gpu=22.48G]
train:  12%|█▏        | 118/1000 [11:17<1:14:56,  5.10s/it, loss=0.2072, lr=3.00e-04, sup=10, onp=6, gpu=22.48G]
train:  12%|█▏        | 118/1000 [11:19<1:14:56,  5.10s/it, loss=0.2829, lr=3.00e-04, sup=9, onp=7, gpu=22.48G] 
train:  12%|█▏        | 119/1000 [11:19<1:12:37,  4.95s/it, loss=0.2829, lr=3.00e-04, sup=9, onp=7, gpu=22.48G]
train:  12%|█▏        | 119/1000 [11:21<1:12:37,  4.95s/it, loss=0.1970, lr=3.00e-04, sup=11, onp=5, gpu=22.48G]
train:  12%|█▏        | 120/1000 [11:21<1:10:35,  4.81s/it, loss=0.1970, lr=3.00e-04, sup=11, onp=5, gpu=22.48G]
train:  12%|█▏        | 120/1000 [11:26<1:10:35,  4.81s/it, loss=0.1893, lr=3.00e-04, sup=9, onp=7, gpu=22.48G] 
train:  12%|█▏        | 121/1000 [11:26<1:10:23,  4.81s/it, loss=0.1893, lr=3.00e-04, sup=9, onp=7, gpu=22.48G]
train:  12%|█▏        | 121/1000 [11:30<1:10:23,  4.81s/it, loss=0.1837, lr=3.00e-04, sup=8, onp=8, gpu=22.48G]
train:  12%|█▏        | 122/1000 [11:30<1:09:55,  4.78s/it, loss=0.1837, lr=3.00e-04, sup=8, onp=8, gpu=22.48G]
train:  12%|█▏        | 122/1000 [11:34<1:09:55,  4.78s/it, loss=0.2067, lr=3.00e-04, sup=11, onp=5, gpu=22.48G]
train:  12%|█▏        | 123/1000 [11:34<1:09:40,  4.77s/it, loss=0.2067, lr=3.00e-04, sup=11, onp=5, gpu=22.48G]
train:  12%|█▏        | 123/1000 [11:40<1:09:40,  4.77s/it, loss=0.1739, lr=3.00e-04, sup=10, onp=6, gpu=22.48G]
train:  12%|█▏        | 124/1000 [11:40<1:10:34,  4.83s/it, loss=0.1739, lr=3.00e-04, sup=10, onp=6, gpu=22.48G]
train:  12%|█▏        | 124/1000 [11:47<1:10:34,  4.83s/it, loss=0.1757, lr=3.00e-04, sup=10, onp=6, gpu=22.48G]
train:  12%|█▎        | 125/1000 [11:47<1:11:29,  4.90s/it, loss=0.1757, lr=3.00e-04, sup=10, onp=6, gpu=22.48G]
                                                                                                                

train:  12%|█▎        | 125/1000 [11:47<1:11:29,  4.90s/it, loss=0.1757, lr=3.00e-04, sup=10, onp=6, gpu=22.48G]
train:  12%|█▎        | 125/1000 [11:51<1:11:29,  4.90s/it, loss=0.1835, lr=3.00e-04, sup=8, onp=8, gpu=22.48G] 
train:  13%|█▎        | 126/1000 [11:51<1:11:10,  4.89s/it, loss=0.1835, lr=3.00e-04, sup=8, onp=8, gpu=22.48G]
train:  13%|█▎        | 126/1000 [11:57<1:11:10,  4.89s/it, loss=0.1712, lr=3.00e-04, sup=8, onp=8, gpu=22.48G]
train:  13%|█▎        | 127/1000 [11:57<1:12:03,  4.95s/it, loss=0.1712, lr=3.00e-04, sup=8, onp=8, gpu=22.48G]
train:  13%|█▎        | 127/1000 [12:03<1:12:03,  4.95s/it, loss=0.1677, lr=3.00e-04, sup=9, onp=7, gpu=22.48G]
train:  13%|█▎        | 128/1000 [12:03<1:12:19,  4.98s/it, loss=0.1677, lr=3.00e-04, sup=9, onp=7, gpu=22.48G]
train:  13%|█▎        | 128/1000 [12:09<1:12:19,  4.98s/it, loss=0.1719, lr=3.00e-04, sup=7, onp=9, gpu=22.48G]
train:  13%|█▎        | 129/1000 [12:09<1:12:55,  5.02s/it, loss=0.1719, lr=3.00e-04, sup=7, onp=9, gpu=22.48G]
train:  13%|█▎        | 129/1000 [12:14<1:12:55,  5.02s/it, loss=0.1820, lr=3.00e-04, sup=9, onp=7, gpu=22.48G]
train:  13%|█▎        | 130/1000 [12:14<1:12:48,  5.02s/it, loss=0.1820, lr=3.00e-04, sup=9, onp=7, gpu=22.48G]
train:  13%|█▎        | 130/1000 [12:19<1:12:48,  5.02s/it, loss=0.1743, lr=3.00e-04, sup=7, onp=9, gpu=22.48G]
train:  13%|█▎        | 131/1000 [12:19<1:12:36,  5.01s/it, loss=0.1743, lr=3.00e-04, sup=7, onp=9, gpu=22.48G]
train:  13%|█▎        | 131/1000 [12:23<1:12:36,  5.01s/it, loss=0.1687, lr=3.00e-04, sup=8, onp=8, gpu=22.48G]
train:  13%|█▎        | 132/1000 [12:23<1:11:58,  4.97s/it, loss=0.1687, lr=3.00e-04, sup=8, onp=8, gpu=22.48G]
train:  13%|█▎        | 132/1000 [12:27<1:11:58,  4.97s/it, loss=0.1833, lr=3.00e-04, sup=9, onp=7, gpu=22.48G]
train:  13%|█▎        | 133/1000 [12:27<1:11:20,  4.94s/it, loss=0.1833, lr=3.00e-04, sup=9, onp=7, gpu=22.48G]
train:  13%|█▎        | 133/1000 [12:32<1:11:20,  4.94s/it, loss=0.1811, lr=3.00e-04, sup=6, onp=10, gpu=22.48G]
train:  13%|█▎        | 134/1000 [12:32<1:11:23,  4.95s/it, loss=0.1811, lr=3.00e-04, sup=6, onp=10, gpu=22.48G]
train:  13%|█▎        | 134/1000 [12:38<1:11:23,  4.95s/it, loss=0.1782, lr=3.00e-04, sup=4, onp=12, gpu=22.48G]
train:  14%|█▎        | 135/1000 [12:38<1:11:36,  4.97s/it, loss=0.1782, lr=3.00e-04, sup=4, onp=12, gpu=22.48G]
train:  14%|█▎        | 135/1000 [12:42<1:11:36,  4.97s/it, loss=0.1862, lr=3.00e-04, sup=7, onp=9, gpu=22.48G] 
train:  14%|█▎        | 136/1000 [12:42<1:11:09,  4.94s/it, loss=0.1862, lr=3.00e-04, sup=7, onp=9, gpu=22.48G]
train:  14%|█▎        | 136/1000 [12:47<1:11:09,  4.94s/it, loss=0.1629, lr=3.00e-04, sup=8, onp=8, gpu=22.48G]
train:  14%|█▎        | 137/1000 [12:47<1:10:46,  4.92s/it, loss=0.1629, lr=3.00e-04, sup=8, onp=8, gpu=22.48G]
train:  14%|█▎        | 137/1000 [12:50<1:10:46,  4.92s/it, loss=0.1912, lr=3.00e-04, sup=11, onp=5, gpu=22.48G]
train:  14%|█▍        | 138/1000 [12:50<1:09:30,  4.84s/it, loss=0.1912, lr=3.00e-04, sup=11, onp=5, gpu=22.48G]
train:  14%|█▍        | 138/1000 [12:55<1:09:30,  4.84s/it, loss=0.1746, lr=3.00e-04, sup=7, onp=9, gpu=22.48G] 
train:  14%|█▍        | 139/1000 [12:55<1:09:19,  4.83s/it, loss=0.1746, lr=3.00e-04, sup=7, onp=9, gpu=22.48G]
train:  14%|█▍        | 139/1000 [13:00<1:09:19,  4.83s/it, loss=0.1750, lr=3.00e-04, sup=3, onp=13, gpu=22.48G]
train:  14%|█▍        | 140/1000 [13:00<1:10:02,  4.89s/it, loss=0.1750, lr=3.00e-04, sup=3, onp=13, gpu=22.48G]
train:  14%|█▍        | 140/1000 [13:06<1:10:02,  4.89s/it, loss=0.1740, lr=3.00e-04, sup=6, onp=10, gpu=22.48G]
train:  14%|█▍        | 141/1000 [13:06<1:10:19,  4.91s/it, loss=0.1740, lr=3.00e-04, sup=6, onp=10, gpu=22.48G]
train:  14%|█▍        | 141/1000 [13:10<1:10:19,  4.91s/it, loss=0.1867, lr=3.00e-04, sup=11, onp=5, gpu=22.48G]
train:  14%|█▍        | 142/1000 [13:10<1:09:44,  4.88s/it, loss=0.1867, lr=3.00e-04, sup=11, onp=5, gpu=22.48G]
train:  14%|█▍        | 142/1000 [13:15<1:09:44,  4.88s/it, loss=0.2020, lr=3.00e-04, sup=9, onp=7, gpu=22.48G] 
train:  14%|█▍        | 143/1000 [13:15<1:09:23,  4.86s/it, loss=0.2020, lr=3.00e-04, sup=9, onp=7, gpu=22.48G]
train:  14%|█▍        | 143/1000 [13:20<1:09:23,  4.86s/it, loss=0.1736, lr=3.00e-04, sup=6, onp=10, gpu=22.48G]
train:  14%|█▍        | 144/1000 [13:20<1:09:54,  4.90s/it, loss=0.1736, lr=3.00e-04, sup=6, onp=10, gpu=22.48G]
train:  14%|█▍        | 144/1000 [13:26<1:09:54,  4.90s/it, loss=0.1758, lr=3.00e-04, sup=11, onp=5, gpu=22.48G]
train:  14%|█▍        | 145/1000 [13:26<1:10:08,  4.92s/it, loss=0.1758, lr=3.00e-04, sup=11, onp=5, gpu=22.48G]
train:  14%|█▍        | 145/1000 [13:32<1:10:08,  4.92s/it, loss=0.1565, lr=3.00e-04, sup=6, onp=10, gpu=22.48G]
train:  15%|█▍        | 146/1000 [13:32<1:11:25,  5.02s/it, loss=0.1565, lr=3.00e-04, sup=6, onp=10, gpu=22.48G]
